net,length_um
input_1._066_,649.74
stage_2.input_fifo._153_,598.79
clknet_2_1__leaf_CLK,522.59
clknet_2_0__leaf_CLK,472.99
input_2._066_,428.72
clknet_2_2__leaf_CLK,417.6
stage_2.input_fifo._154_,402.2
stage_2._0010_,398.02
clknet_2_3__leaf_CLK,386.19
stage_2._0003_,384.04
clknet_0_CLK,382.73
net209,337.28
stage_3.input_fifo._130_,331.41
stage_3.input_fifo._131_,330.68
CLK,326.97
stage_2.EN_feed,320.76
input_2._122_,270.38
stage_3.input_fifo._142_,266.12
_027_,263
stage_2.input_fifo$D_OUT\[120\],258.08
stage_2.input_fifo$D_OUT\[115\],251.8
stage_4.output_fifo._067_,242.56
stage_2._0084_,238.56
stage_2.input_fifo$D_OUT\[117\],234.03
stage_2._0196_,234
stage_2._0001_,230.03
stage_4.output_fifo._070_,229.23
stage_2._0044_,227.855
stage_2.input_fifo$D_OUT\[118\],225.855
stage_3._0610_,220.06
stage_2._0179_,218.8
input_1._122_,218.465
_049_,210.61
stage_2._0090_,207.32
stage_3._0642_,204.795
stage_3._0615_,203.58
stage_4._0264_,202.57
stage_3.input_fifo._253_,201.08
stage_2._0033_,198.24
net3,197.72
stage_2._0134_,192.6
clknet_leaf_53_CLK,191.88
stage_2._0237_,191.05
stage_3._0659_,184.24
stage_3.input_fifo$D_OUT\[126\],181.98
stage_4._0260_,181.55
stage_4._0011_,181.085
stage_2.input_fifo$D_OUT\[116\],178.84
stage_3._0635_,178.38
stage_4.input_fifo._074_,178.08
stage_2._0083_,176.97
stage_4.input_fifo$D_OUT\[17\],176.51
stage_3._0640_,174.335
stage_2.input_fifo$D_OUT\[122\],173.38
stage_4._0263_,173.33
stage_2.input_fifo._297_,171.44
stage_2._0183_,170.78
stage_3._0633_,168.7
net2,168.02
clknet_leaf_11_CLK,167.195
stage_2._0111_,166.08
stage_3._0661_,165.25
stage_2._0236_,165.23
stage_2._0097_,165.08
stage_2._0043_,164.71
net28,163.88
stage_4.input_fifo$D_OUT\[16\],162.16
_122_,161.875
stage_3._0293_,159.7
stage_3.read_output_3\[2\],158.95
stage_2._0257_,158.43
stage_2.input_fifo$D_OUT\[121\],158.02
stage_4._0289_,156.38
stage_3._0648_,155.76
stage_4._0220_,155.46
stage_4._0375_,155.04
stage_2._0101_,154.88
stage_2.input_fifo._308_,154.775
stage_4._0014_,154.52
net13,153.74
stage_2._0087_,153.55
stage_2._0147_,152.35
net10,150.54
stage_3._0649_,150.23
stage_4._0166_,150.08
stage_3._0265_,148.82
stage_2._0072_,147.43
net113,147.38
stage_3._0612_,147.03
net12,147.02
stage_4.input_fifo$D_OUT\[13\],146.77
stage_4._0178_,146.43
stage_2._0046_,145.66
net134,144.76
stage_2._0000_,144.04
stage_4.input_fifo$D_OUT\[14\],143.51
net80,143.16
net67,142.76
stage_3._0654_,142.38
stage_3._0643_,141.86
net1,141.18
stage_4.input_fifo$D_OUT\[47\],140.845
stage_3._0608_,139.15
stage_2._0092_,138.72
stage_3._0652_,137.16
stage_2._0031_,137.14
stage_2.input_fifo$D_OUT\[119\],136.76
stage_2._0351_,136.02
stage_4._0169_,135.87
stage_3._0261_,135.46
stage_2._0064_,135.38
stage_4._0331_,135.38
clknet_leaf_41_CLK,134.84
stage_4._0276_,134.67
stage_4._0266_,134.58
stage_2._0143_,134.45
stage_4._0329_,133.37
clknet_leaf_38_CLK,133.14
stage_4.EN_feed,132.12
stage_4._0218_,131.87
stage_4.input_fifo$D_OUT\[31\],131.6
stage_4._0228_,130.96
stage_2.input_fifo$D_OUT\[37\],130.64
stage_4.input_fifo$D_OUT\[11\],130.31
clknet_leaf_0_CLK,130.02
stage_3.input_fifo._209_,129.3
stage_4.input_fifo$D_OUT\[30\],128.48
stage_3._0669_,128.34
net75,128.06
stage_2.input_fifo$D_OUT\[35\],128
stage_4._0217_,127.99
stage_4._0237_,127.32
stage_2._0291_,127.19
clknet_leaf_9_CLK,126.7
stage_4._0203_,126.34
net132,125.98
stage_4.input_fifo$D_OUT\[9\],125.96
net105,125.06
stage_2.input_fifo$D_OUT\[36\],124.94
stage_4.input_fifo$D_OUT\[12\],124.705
stage_4.input_fifo$D_OUT\[39\],124.69
stage_2._0121_,124.62
stage_4._0278_,123.435
stage_4._0198_,122.86
stage_4.input_fifo$D_OUT\[35\],122.85
stage_3._0149_,122.44
stage_4._0370_,122.22
stage_4._0302_,121.83
stage_2.input_fifo$D_OUT\[33\],121.58
net131,121.42
stage_2._0341_,121.3
stage_4._0158_,121.2
stage_2.input_fifo$D_OUT\[31\],120.93
stage_2.input_fifo$D_OUT\[38\],120.84
stage_4.input_fifo$D_OUT\[29\],119.93
net89,119.62
stage_4.input_fifo$D_OUT\[15\],119.305
stage_4.input_fifo$D_OUT\[38\],119.24
stage_4._0173_,119.02
stage_4._0254_,118.9
stage_2.input_fifo$D_OUT\[32\],118.88
stage_4._0164_,118.86
stage_4.input_fifo$D_OUT\[22\],118.64
stage_4._0180_,118.46
stage_3._0117_,118.44
stage_2.input_fifo$D_OUT\[39\],118.36
stage_3._0713_,118.26
stage_4.input_fifo$D_OUT\[21\],117.895
stage_2.input_fifo$D_OUT\[30\],117.82
stage_4._0404_,117.39
stage_4.input_fifo$D_OUT\[32\],117.37
stage_4._0315_,117.31
stage_4._0282_,117.3
stage_4._0202_,117.16
stage_2._0268_,116.87
stage_2.input_fifo$D_OUT\[34\],116.7
stage_2._0131_,116.5
stage_3._0115_,116.02
stage_4.input_fifo$D_OUT\[23\],115.88
stage_3.input_fifo._154_,114.88
stage_3._0146_,114.84
clknet_leaf_42_CLK,114.715
net109,114.7
net199,114.7
stage_4._0332_,114.68
stage_4._0192_,114.42
stage_4._0206_,114.38
stage_4.input_fifo$D_OUT\[24\],114.13
stage_2._0193_,114.04
clknet_leaf_20_CLK,113.98
stage_2._0221_,113.8
stage_2.input_fifo$D_OUT\[40\],113.72
clknet_leaf_51_CLK,113.48
stage_4._0221_,113.19
stage_4.input_fifo$D_OUT\[43\],113.07
stage_2._0189_,112.85
net25,112.68
stage_2.input_fifo._176_,112.66
stage_4.input_fifo$D_OUT\[55\],112.64
stage_2._0365_,112.58
net226,112.47
net14,112.4
